RDB$RELATION_NAME	FIELD_NAME	FIELD_TYPE	FIELD_CHARSET	FIELD_COLLATION	FIELD_DEFAULT	FIELD_CHECK	FIELD_DESCRIPTION	
MSGPOLI23_DET_BITACORA         	MSGPOLI23_DBLCUOT              	DOUBLE	null	null	DEFAULT 0.00	null	null	
GRID_MSGPOLI23                 	RELA_SOCSYST10_TABLA           	BIGINT	null	null	null	null	null	
VR_SOCWFLO01_SOCWFL03          	SOCSYST10_FILTRO_COD           	CHAR(4) 	ASCII                          	null	null	null	null	
VR_SOCUSUA03_SOCUSUA05         	SOCUSUA05_ACCESO_03            	VARCHAR(200)	ASCII                          	ASCII                          	DEFAULT ' '	null	null	
GRID_MSGPOLI02_CONCONCILIAR    	NOTAS                          	BLOB SUB_TYPE 1	ASCII                          	null	null	null	null	
PYMVENT21_DET_TICKETS          	PYMVENT21_PUNTOS_TOT           	DOUBLE	null	null	DEFAULT 0.00	null	null	
GRID_MSGPOLI23_ALL             	MSGPOLI23_IMPORTE_SINMOD       	DOUBLE	null	null	DEFAULT 0.00	null	null	
GRID_PYMVENT21_PV_DEVOL        	RESERVACION                    	VARCHAR(50)	ASCII                          	null	null	null	null	
GRID_PYMINGR06                 	PYMINGR06_NOTAS                	BLOB SUB_TYPE 1	ASCII                          	null	null	null	null	
GRID_SCEXMLS11_ERRORES         	SCEXMLS11_FAPL                 	TIMESTAMP	null	null	DEFAULT CURRENT_TIMESTAMP	null	null	
REP_PYMLOGI01_REFERENCIAS      	DESTINO_RFC                    	VARCHAR(100)	ASCII                          	ASCII                          	null	null	null	
VR_SOCUSUA02_SOCUSUA01_ALL     	SOCSYST10_FILTRO_COD1          	CHAR(4) 	ASCII                          	null	null	null	null	
REP_PYMINVE25_SOLICITUD        	TOTAL                          	DOUBLE	null	null	null	null	null	
VR_SOCWFLO04_SOCUSUA03         	SOCUSUA05_FRM_03               	SMALLINT	null	null	DEFAULT 0	CHECK (VALUE=0 OR VALUE=1)	null	
VR_SOCUSUA06_SOCUSUA03         	RELA_SOCUSUA03                 	BIGINT	null	null	null	null	null	
VW_PYMVENT01_PYMVENT02         	RELA_PYMINVE40_DANADO          	BIGINT	null	null	null	null	null	
REP_ON2CFDS10                  	FONDO                          	VARCHAR(100)	ASCII                          	null	null	null	null	
ZTMPINVE10_PRODUCTOS           	ZTMPINVE10_FAPL                	TIMESTAMP	null	null	DEFAULT CURRENT_TIMESTAMP	null	null	
PYMINVE10_CAB_PRODUCTOS        	PYMINVE10_NOTAS                	BLOB SUB_TYPE 1	ASCII                          	null	null	null	null	
GRID_PYMVENT21_PV              	RESERVACION                    	VARCHAR(50)	ASCII                          	null	null	null	null	
PYMVENT01_CAB_CAJAS            	PYMVENT01_NETEAALBORRAR        	SMALLINT	null	null	DEFAULT 0	CHECK (VALUE=0 OR VALUE=1)	null	
PYMINGR01_CAB_FACTURAS         	PYMINGR01_TIPOCAMBIO           	DOUBLE	null	null	null	null	null	
MSGPOLI23_DET_BITACORA         	MSGPOLI23_DBLPORC              	DOUBLE	null	null	DEFAULT 0.00	null	null	
GRID_MSGPOLI23                 	MSGPOLI23_DBLCUOT              	DOUBLE	null	null	DEFAULT 0.00	null	null	
VR_SOCWFLO01_SOCWFL03          	SOCSYST10_FILTRO_DES           	VARCHAR(50)	ASCII                          	ASCII                          	null	null	null	
VR_SOCUSUA03_SOCUSUA05         	SOCUSUA05_ACCESO_04            	VARCHAR(200)	ASCII                          	ASCII                          	DEFAULT ' '	null	null	
GRID_MSGPOLI02_CONCONCILIAR    	RELA_MSGPOLI04                 	BIGINT	null	null	null	null	null	
PYMVENT21_DET_TICKETS          	PYMVENT21_MARCA                	SMALLINT	null	null	DEFAULT 0	CHECK (VALUE=0 OR VALUE=1)	null	
GRID_MSGPOLI23_ALL             	MSGPOLI23_IMPORTE_USUARIO      	DOUBLE	null	null	DEFAULT 0.00	null	null	
GRID_PYMVENT21_PV_DEVOL        	CONIMAGENES                    	INTEGER	null	null	null	null	null	
GRID_PYMINGR06                 	PYMINGR06_IMPORTE_ST           	DOUBLE	null	null	null	null	null	
VR_SOCUSUA02_SOCUSUA01_ALL     	SOCSYST10_FILTRO_DES1          	VARCHAR(50)	ASCII                          	ASCII                          	null	null	null	
REP_PYMLOGI01_REFERENCIAS      	DESTINO_DIRECCION              	VARCHAR(400)	ASCII                          	ASCII                          	null	null	null	
REP_PYMINVE25_SOLICITUD        	ID_PYMINVE24                   	INTEGER	null	null	null	null	null	
VR_SOCWFLO04_SOCUSUA03         	SOCUSUA05_FRM_04               	SMALLINT	null	null	DEFAULT 0	CHECK (VALUE=0 OR VALUE=1)	null	
VR_SOCUSUA06_SOCUSUA03         	ID_SOCUSUA06                   	BIGINT	null	null	null	null	null	
VW_PYMVENT01_PYMVENT02         	RELA_PYMINVE40_RENTA           	BIGINT	null	null	null	null	null	
REP_ON2CFDS10                  	ON2CFDS14_NROCTA               	VARCHAR(50)	ASCII                          	ASCII                          	null	null	null	
PYMINVE10_CAB_PRODUCTOS        	PYMINVE10_NOACTIVO             	SMALLINT	null	null	DEFAULT 0	CHECK (VALUE=0 OR VALUE=1)	null	
GRID_PYMVENT21_PV              	CONIMAGENES                    	INTEGER	null	null	null	null	null	
PYMINGR01_CAB_FACTURAS         	PYMINGR01_FAPL                 	TIMESTAMP	null	null	DEFAULT CURRENT_TIMESTAMP	null	null	
